,Blogger ID,Date,关注,浏览,点赞,评论
0,B10,2024-07-11,31,897,691,174
1,B10,2024-07-12,59,2029,1559,386
2,B10,2024-07-13,86,2271,1698,491
3,B10,2024-07-14,71,2156,1662,436
4,B10,2024-07-15,79,2084,1593,434
5,B10,2024-07-16,69,2003,1506,432
6,B10,2024-07-17,41,1355,1015,276
7,B10,2024-07-20,16,372,278,75
8,B12,2024-07-11,117,2045,958,375
9,B12,2024-07-12,222,3355,1656,613
10,B12,2024-07-13,194,3699,1777,704
11,B12,2024-07-14,207,3333,1665,594
12,B12,2024-07-15,204,3763,1756,632
13,B12,2024-07-16,205,3544,1778,544
14,B12,2024-07-17,210,3355,1735,599
15,B12,2024-07-18,263,3759,1862,749
16,B12,2024-07-19,230,3572,1723,667
17,B12,2024-07-20,224,3826,1928,633
18,B13,2024-07-11,146,2553,1522,433
19,B13,2024-07-12,270,4509,2503,922
20,B13,2024-07-13,274,4865,2791,933
21,B13,2024-07-14,255,4729,2772,856
22,B13,2024-07-15,319,4953,2842,961
23,B13,2024-07-16,287,4848,2787,870
24,B13,2024-07-17,298,4800,2791,868
25,B13,2024-07-18,338,5038,2984,981
26,B13,2024-07-19,237,4856,2864,810
27,B13,2024-07-20,267,5015,2893,919
28,B15,2024-07-11,167,4398,2354,850
29,B15,2024-07-12,283,7419,4002,1503
30,B15,2024-07-13,295,8081,4317,1738
31,B15,2024-07-14,375,7958,3945,1866
32,B15,2024-07-15,351,8309,4260,1927
33,B15,2024-07-16,370,8464,4329,2017
34,B15,2024-07-17,416,8719,4444,2037
35,B15,2024-07-18,393,8148,4174,2092
36,B15,2024-07-19,274,7636,3913,1686
37,B15,2024-07-20,382,8249,4054,2058
38,B16,2024-07-11,70,940,568,222
39,B16,2024-07-12,114,1693,1073,291
40,B16,2024-07-13,127,1858,1182,382
41,B16,2024-07-14,119,1785,1113,351
42,B16,2024-07-15,125,1797,1120,324
43,B16,2024-07-16,131,1716,1052,304
44,B16,2024-07-17,113,1740,1072,310
45,B16,2024-07-18,147,1723,1054,345
46,B16,2024-07-19,121,1669,1080,286
47,B16,2024-07-20,107,1718,1102,292
48,B17,2024-07-11,49,1352,1009,292
49,B17,2024-07-12,86,2372,1733,564
50,B17,2024-07-13,128,2593,1736,757
51,B17,2024-07-14,116,2444,1765,608
52,B17,2024-07-15,86,2593,1812,686
53,B17,2024-07-16,97,2536,1828,630
54,B17,2024-07-17,98,2334,1673,589
55,B17,2024-07-18,99,1970,1490,355
56,B17,2024-07-19,98,2033,1650,290
57,B17,2024-07-20,142,2223,1592,501
58,B18,2024-07-11,71,1234,753,252
59,B18,2024-07-12,164,4492,2592,645
60,B18,2024-07-13,165,4892,2798,704
61,B18,2024-07-14,166,4496,2592,688
62,B18,2024-07-15,182,4602,2557,673
63,B18,2024-07-16,189,4554,2649,764
64,B18,2024-07-17,194,4891,2954,961
65,B18,2024-07-18,222,4691,2792,905
66,B18,2024-07-19,149,4455,2463,577
67,B18,2024-07-20,154,4686,2599,597
68,B19,2024-07-11,73,1905,869,223
69,B19,2024-07-12,166,3615,2294,770
70,B19,2024-07-13,171,3798,2466,809
71,B19,2024-07-14,165,3777,2393,672
72,B19,2024-07-15,139,3984,2541,721
73,B19,2024-07-16,182,3839,2270,705
